,,FP2 - Force,,,FP2 - Moment,,,FP2 - CoP,,,FP1 - Force,,,FP1 - Moment,,,FP1 - CoP,,,FP4 - Force,,,FP4 - Moment,,,FP4 - CoP,,,A-Myon EMG - Voltage,,,,,,,,,,,,,,,,,,B-Myon EMG - Voltage,,,,,,,,,,,,FP3 - Force,,,FP3 - Moment,,,FP3 - CoP,,,EMG_A_Acc - Voltage,,,,,,,,,,,,,,,,EMG_B_Acc - Voltage,,,,,,,,,,,,,,,,Trigger - Electric Potential,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,EMG_A01,EMG_A02,EMG_A03,EMG_A04,EMG_A05,EMG_A06,EMG_A07,EMG_A08,EMG_A01_Accz,EMG_A02_Accz,EMG_A03_Accz,EMG_A04_Accz,EMG_A05_Accz,EMG_A06_Accz,EMG_A07_Accz,EMG_A08_Accz,FswA,FswB,EMG_B01,EMG_B02,EMG_B03,EMG_B04,EMG_B05,EMG_B06,EMG_B07,EMG_B08,EMG_B09,EMG_B10,EMG_B11,EMG_B12,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
653,9,0.0186655,-0.137846,1.62552,74.7132,-50.0848,33.989,202.9,-304.365,-0.0795827,0.252115,-0.143593,-1.17331,-101.29,-135.13,-80.5064,83.7053,386.766,-0.039899,-0.289604,-0.0306972,0.290717,-136.234,-109.203,-25.8801,-199.669,-305.422,-0.130892,0.000610352,0.00946045,0.0341797,-0.00671387,0.0247192,-0.0315857,0.00747681,-0.0263977,-0.0205994,0.00549316,-0.0753784,-0.0436401,0.0157166,0.00152588,-0.0563049,-0.0541687,2.65472,2.64542,0.010376,0.0436401,0.0102234,0.00228882,0.0285339,0.00946045,0.00976562,-0.0997925,-0.022583,-0.00778198,-2.56531,-2.75558,0.666179,0.114895,-0.422892,29.8244,89.0611,13.3835,207.643,-1058.39,0.0770316,-0.0267792,-0.0844955,0.00179291,0.00354767,0.00888824,0.0701523,-0.0734329,0.00862122,0.226822,0.174866,0.200615,0.215416,-0.162354,0.188484,-0.168304,0.213547,-0.0554276,0.0556183,0.17067,0.0327682,-0.0712204,-0.197525,0.00900269,0.136108,0.227966,-0.244141,-0.28141,-0.172462,-0.20668,-0.0474167,0.275345,-0.109329,-0.000610352
654,0,-0.334151,-0.316581,1.27096,162.302,91.5294,-58.9547,202.9,-304.365,-0.0795827,-0.191722,0.475591,0.24012,-146.908,180.014,-154.949,198.84,300.407,0.0558755,-0.023132,-0.295503,-0.0637685,-136.167,-109.24,-137.394,-199.669,-305.422,-0.130892,-0.00946045,0.0357056,0.0442505,-0.00183105,-0.00259399,-0.0244141,0.0204468,-0.0410461,-0.0260925,-0.00305176,-0.0740051,-0.0387573,-0.0050354,-0.0123596,-0.057373,-0.0474548,2.64801,2.65137,0.00930786,0.0286865,0.00488281,0.000915527,-0.00579834,0.0218201,0.0157166,-0.143738,-0.00106812,-0.0012207,-3.16696,-3.16559,0.128957,0.0265676,-0.0645566,74.9305,-160.418,-99.3544,207.643,-1058.39,0.0770316,-0.022049,-0.0999832,-0.0109482,0.0257111,0.0222015,0.0572205,-0.0920868,-0.00823975,0.204582,0.1791,0.196228,0.200233,-0.174789,0.187111,-0.198326,0.211334,-0.0437164,0.0406265,0.192757,0.046463,-0.0621796,-0.206566,0.0236511,0.154877,0.24086,-0.242996,-0.268631,-0.126953,-0.17662,-0.0495529,0.268135,-0.13588,0.00488281
654,1,-0.0687707,-0.0504455,0.562977,-13.8623,55.3257,-59.1983,202.9,-304.365,-0.0795827,-0.0116845,0.209304,-4.0013,-234.998,179.586,12.2555,243.721,359.136,0.0714491,-0.202176,0.500106,-0.0641363,-3.59675,31.1281,-44.4322,-199.669,-305.422,-0.130892,0.00106812,0.0265503,0.00701904,0.0363159,0.0349426,-0.0553894,0.000305176,-0.0588989,-0.0375366,0.00808716,-0.0784302,-0.0463867,0.0236511,0.00701904,-0.0466919,-0.0544739,2.64954,2.65747,0.0146484,-0.00457764,0.0543213,-0.0050354,0.00564575,-0.0437927,0.000152588,-0.125275,0.0209045,0.0152588,-3.16711,-3.17047,-0.137858,0.385084,1.7229,29.8263,-267.165,-42.5519,207.643,-1058.39,0.0770316,-0.0267792,-0.0801849,0.0247574,0.00827789,0.0107574,0.0370407,-0.086937,0.0161362,0.212708,0.181007,0.225868,0.216331,-0.180511,0.200348,-0.175781,0.188408,-0.0564194,0.0489044,0.16407,0.0886917,-0.100441,-0.211296,0.0306702,0.165329,0.262794,-0.254936,-0.268135,-0.111809,-0.139618,-0.0214767,0.257301,-0.107689,0.0088501
654,2,-0.154475,-0.404748,-0.14522,-101.686,-50.9679,70.9292,202.9,-304.365,-0.0795827,-0.0116593,-0.0564199,-1.88044,118.699,-133.974,-136.117,127.61,237.332,0.0240632,-0.2,-0.119391,-1.12813,-3.24891,-108.879,-44.3862,-296.176,-302.519,-0.189701,0.0120544,0.0289917,0.038147,0.0604248,0.0489807,-0.0514221,0.0224304,-0.070343,-0.03479,0.0195312,-0.0965881,-0.0384521,0.0271606,0.00762939,-0.070343,-0.0444031,2.64542,2.67929,0.00228882,0.0219727,0.0595093,0.0418091,-0.042572,0.0149536,-0.00534058,-0.162048,0.0302124,-0.0163269,-3.16254,-3.17841,-0.317459,0.206711,1.36586,-60.5478,160.303,32.2174,207.643,-1058.39,0.0770316,-0.0270844,-0.0860977,0.00465393,0.00488281,0.0243378,0.0563431,-0.0979233,0.0186539,0.193405,0.180855,0.210648,0.225601,-0.152168,0.163498,-0.192261,0.195465,-0.069809,0.0597763,0.158234,0.0626373,-0.0728989,-0.168457,0.0439453,0.173454,0.240059,-0.251694,-0.236893,-0.118942,-0.158386,-0.018158,0.25631,-0.0873566,0.0192261
654,3,-0.157258,0.037303,0.20868,30.5296,-15.0353,-21.8963,202.9,-304.365,-0.0795827,-0.18632,-0.323494,-1.52702,-145.455,-100.324,-99.1283,133.154,395.706,-0.00960686,0.2403,0.236321,1.35514,-47.7029,-39.0097,-118.779,-199.669,-305.422,-0.130892,-0.00259399,0.0172424,0.0204468,0.00305176,0.0402832,-0.0296021,-0.00427246,-0.058136,-0.0395203,0.0341797,-0.0494385,-0.0184631,0.0163269,0.0184631,-0.0700378,-0.0483704,2.66174,2.68936,0.00457764,0.0210571,0.0648499,0.0540161,-0.00961304,0.0144958,-0.0151062,-0.19577,0.00701904,-0.0189209,-3.18329,-3.19107,-0.0502275,-0.151177,-0.0640354,-150.922,124.673,32.3852,207.643,-1058.39,0.0770316,-0.0402069,-0.112267,-0.00823975,0.0126266,0.0263596,0.0588226,-0.0947571,0.0153732,0.226669,0.181465,0.22789,0.221825,-0.150337,0.183792,-0.187187,0.174599,-0.0543594,0.0527191,0.144424,0.0485992,-0.072937,-0.186234,0.0382614,0.170288,0.240288,-0.24807,-0.259209,-0.114899,-0.149612,-0.0126266,0.270157,-0.0725937,-0.00671387
654,4,-0.154778,-0.13997,-0.853595,31.1132,-156.199,71.178,202.9,-304.365,-0.0795827,0.0769744,-0.233351,-1.52687,-145.73,-30.2714,-247.823,179.053,395.95,0.0204087,-0.290483,0.323103,0.2906,84.5197,241.364,-25.8625,-199.669,-305.422,-0.130892,0.0132751,0.0192261,-0.00152588,0.0286865,0.0384521,0.0144958,-0.00656128,-0.0715637,-0.0314331,0.00244141,-0.0636292,-0.0427246,0.00366211,0.000762939,-0.0639343,-0.0535583,2.68417,2.66052,0.0267029,0.0163269,0.0215149,0.0604248,0.0292969,0.0134277,-0.0140381,-0.22583,0.0154114,-0.000457764,-3.14987,-3.18344,-0.139853,-0.0623381,-0.0640874,300.83,231.397,-81.4525,207.643,-1058.39,0.0770316,-0.026474,-0.0904083,0.0265503,0.00705719,0.0279999,0.059967,-0.0906754,0.00732422,0.204544,0.168953,0.204506,0.212097,-0.15358,0.18116,-0.194473,0.207138,-0.0655746,0.0550842,0.156746,0.0630569,-0.0777054,-0.230904,0.0350571,0.169067,0.234833,-0.285797,-0.247726,-0.1437,-0.161247,0.0104141,0.245743,-0.0760269,0.00823975
654,5,0.110455,-0.0502367,-0.853245,119.063,-85.1893,-21.7304,202.9,-304.365,-0.0795827,-0.454999,0.208299,1.65388,-145.616,-65.2891,-136.306,198.84,300.407,0.0558755,-0.0237842,-0.118487,0.290905,85.0303,31.3605,-7.20772,-199.669,-305.422,-0.130892,0.0195312,0.0088501,0.0151062,0.00106812,0.0247192,0.0975037,0.0161743,-0.0733948,-0.0038147,0.0468445,-0.0778198,-0.0320435,0.00961304,0.0180054,-0.0575256,-0.0424194,2.63153,2.62924,0.0106812,0.0120544,0.0134277,0.0292969,0.000305176,0.0283813,0.00961304,-0.205383,0.0314331,0.0125122,-3.0719,-3.07358,-0.765088,0.207255,1.72394,165.249,53.2417,-118.689,207.643,-1058.39,0.0770316,-0.0263977,-0.100327,0.0133896,-0.0211716,0.00900269,0.0735092,-0.0999069,0.0476837,0.21843,0.171242,0.210381,0.222664,-0.17067,0.195007,-0.181694,0.21389,-0.0653839,0.0690842,0.17807,0.0701904,-0.0733948,-0.174561,0.0626755,0.166893,0.225754,-0.270844,-0.255051,-0.124893,-0.13649,-0.00205994,0.241318,-0.086441,-0.000305176
654,6,-0.0676456,0.0374074,-0.499431,-145.94,19.3473,-59.3766,202.9,-304.365,-0.0795827,0.0741616,0.121946,-0.113089,-57.6111,-64.8303,-173.418,198.84,300.407,0.0558755,0.329018,0.58976,-0.41858,129.781,-108.579,-137.235,-199.669,-305.422,-0.130892,0.0271606,0.00808716,-0.00259399,0.0253296,-0.0180054,0.132751,0.0361633,-0.0559998,-0.0320435,-0.00106812,-0.0889587,-0.0437927,0.0317383,-0.000152588,-0.0588989,-0.0534058,2.6532,2.65076,0.00198364,0.0393677,-0.018158,0.0109863,0.040741,0.014801,0.0146484,-0.219421,0.0135803,-0.00411987,-3.00323,-3.022,-0.408731,0.204177,-0.0642436,120.242,124.757,50.9237,207.643,-1058.39,0.0770316,-0.0301361,-0.0902557,-0.00225067,-0.00797272,0.0145721,0.0619507,-0.103951,0.00473022,0.218277,0.158195,0.217133,0.206375,-0.1688,0.194016,-0.176544,0.215073,-0.069046,0.04673,0.178185,0.0882339,-0.0843048,-0.185776,0.0104904,0.150642,0.226631,-0.271187,-0.270805,-0.128174,-0.169754,-0.0144577,0.269585,-0.0814438,0.00610352
654,7,-0.422869,0.124146,-0.145878,162.843,-14.3776,-58.9018,202.9,-304.365,-0.0795827,-0.276814,-0.0573222,0.24019,73.7651,41.016,-117.603,198.84,300.407,0.0558755,0.242887,-0.206742,-1.12784,-92.1479,-4.09991,-63.0595,-203.285,-223.701,-0.159811,0.0154114,0.0245667,-0.00213623,-0.0224304,-0.0224304,0.0888062,-0.000915527,-0.032959,-0.0180054,0.0218201,-0.0765991,-0.0431824,0.00411987,-0.0152588,-0.045929,-0.0369263,2.65411,2.64832,-0.000457764,0.030365,-0.0415039,0.0247192,0.127411,0.0447083,0.0106812,-0.158844,0.00976562,-0.017395,-2.94403,-2.94876,0.0414449,-0.0591588,1.72347,-15.2308,-160.103,89.2906,207.643,-1058.39,0.0770316,-0.0370407,-0.110092,0.00988007,-0.00297546,0.0250244,0.0321198,-0.107498,0.0163651,0.1968,0.173721,0.203476,0.218315,-0.172844,0.196724,-0.183487,0.217133,-0.0667572,0.048027,0.159149,0.076828,-0.0851822,-0.209236,0.0196838,0.176582,0.230331,-0.261421,-0.232277,-0.149612,-0.172844,-0.00789642,0.251999,-0.0880814,0.022583
654,8,-0.246797,0.1254,0.562626,-145.426,-86.5505,-40.723,202.9,-304.365,-0.0795827,0.250005,0.12288,-0.112974,117.521,76.3113,-43.2433,198.84,300.407,0.0558755,-0.290037,0.0578691,0.64542,-137.137,240.832,29.762,-199.669,-305.422,-0.130892,0.0119019,0.0152588,-0.0292969,-0.030365,0.000457764,0.100555,0.00747681,0.0404358,-0.018158,0.0131226,-0.0810242,-0.0436401,0.0305176,0.000305176,-0.0553894,-0.0448608,2.66556,2.66922,0.0192261,0.010376,-0.00473022,0.0151062,-0.000305176,0.0358582,-0.0276184,-0.159149,-0.0216675,0.00701904,-2.89612,-2.8801,0.308243,-0.32882,-0.0641398,-195.925,-53.1666,164.729,207.643,-1058.39,0.0770316,-0.0309372,-0.0830078,-0.000686646,-0.00801086,0.0118256,0.0437164,-0.0912476,0.0396347,0.204124,0.166283,0.227356,0.218201,-0.155067,0.206528,-0.199051,0.205956,-0.0335312,0.0522232,0.152969,0.0913239,-0.0977325,-0.196571,0.0367737,0.137596,0.223732,-0.236588,-0.205917,-0.124893,-0.135002,0.019455,0.289268,-0.0302124,-0.00762939
