Frame,RF,VL,BF,TA,SOL,GAS_MED,GAS_LAT,GLUT_MED,GLUT_MAX
1122,0.00946045,0.0541687,0.102539,0.0643921,0.0141907,0.0202942,0.00183105,0.00839233,0.0213623
1122,-0.00579834,0.0790405,0.0514221,0.0382996,0.00350952,-0.0108337,0.0172424,-0.00350952,0.0244141
1122,-0.00579834,0.115814,0.0379944,0.0436401,0.00259399,0.00854492,0.00701904,0.0140381,-0.0102234
1122,0.0408936,0.105591,0.00411987,0.019989,0.0195312,0.0282288,0.0222778,0.0088501,0.0180054
1122,0.0254822,-0.14679,-0.0120544,0.0260925,0.0175476,-0.0212097,0.027771,0.0224304,0.0456238
1122,0.015564,-0.340881,-0.00976562,0.0352478,0.0169373,0.0236511,0.0186157,0.00671387,-0.0212097
1122,-0.00595093,-0.264893,-0.0338745,0.0189209,0.0125122,0.00778198,0.0389099,-0.00213623,0.0358582
1122,0.0193787,-0.0610352,-0.0154114,0.018158,0.00640869,0.00396729,0.018158,0.0291443,-0.0111389
1122,0.0160217,0.205383,0.00396729,0.00350952,-0.00732422,0.00259399,-0.0164795,0.0088501,-0.0364685
1122,0.0233459,0.352325,-0.00213623,0.000457764,0.00320435,0.0117493,0.0158691,-0.00442505,0.0119019
1123,-0.000152588,0.375061,0.0413513,0.00305176,-0.00701904,0.000610352,-0.00656128,-0.00762939,-0.0317383
1123,0.0149536,0.32608,0.0366211,0.00244141,0.00167847,-0.0144958,-0.0172424,-0.0201416,-0.0248718
1123,0.0111389,0.184479,0.018158,0.0062561,0.0192261,0.000610352,-0.0038147,-0.00900269,0.00991821
1123,0.0151062,0.0852966,0.0187683,0.0183105,0.0196838,-0.00167847,-0.0195312,0.0186157,-0.0106812
1123,0.0117493,0.00778198,0.0210571,-0.00854492,-0.00915527,0.0141907,-0.000305176,0.0253296,0.00457764
1123,0.0341797,-0.0497437,0.0314331,0.00534058,0.0241089,0.00259399,0.00274658,0.0314331,-0.00564575
1123,0.00305176,-0.0453186,0.0468445,0.0198364,0.0151062,0.00915527,0.00686646,0.00534058,-0.00595093
1123,0.0204468,-0.0326538,0.0358582,0.0143433,0.0215149,0.025177,0.025177,0.0137329,0.0247192
1123,0.017395,-0.0248718,-0.0294495,0.0137329,0.0276184,-0.00869751,0.00473022,0.0219727,0.0248718
1123,0.00961304,-0.0219727,-0.0363159,-0.00366211,0.00137329,0.0144958,-0.019989,0.00442505,0.00915527
1124,0.0144958,0.00747681,-0.0314331,-0.0167847,-0.000610352,0.0160217,0.0387573,0.00946045,0.0302124
1124,-0.00610352,-0.0405884,-0.0285339,0.00808716,0.0134277,-0.0244141,0.00396729,0.0161743,-0.00549316
1124,0.0105286,-0.0376892,-0.00976562,-0.00946045,-0.00152588,0.012207,-0.0192261,-0.00473022,-0.0112915
1124,0.0198364,-0.0521851,0.0180054,-0.00457764,0.0228882,0.00213623,0.0253296,0.00762939,0.0180054
1124,0.00228882,-0.0535583,0.0234985,0.0234985,0.0161743,0.0117493,-0.00961304,0.0302124,-0.0265503
1124,0.0154114,-0.0314331,0.00350952,0.00213623,0.00747681,0.0088501,0.0160217,0.0328064,0.015564
1124,0.00900269,-0.0128174,0.010376,0.00686646,0.025177,-0.00473022,0.0352478,0.0358582,-0.014801
1124,0.0120544,0.00839233,0.00595093,0.0125122,0.000305176,0.0183105,-0.0128174,0.0286865,-0.0213623
1124,0.010376,0.0674438,0.000610352,0.0270081,-0.0102234,0.0141907,0.0167847,0.0119019,0.0186157
1124,0.0270081,0.040741,-0.0276184,0.0146484,0.0311279,-0.00701904,0.0259399,0.0210571,0.017395
1125,-0.01297,0.000610352,-0.00961304,0.0201416,0.0210571,0.0119019,-0.020752,0.00961304,0.00717163
1125,-0.00411987,0.0157166,-0.0119019,0.017395,0.0350952,0.00320435,0.0196838,-0.00305176,0.0547791
1125,-0.00640869,-0.00778198,-0.00823975,-0.0178528,0.0292969,0.00396729,0.0119019,0.0125122,0.0219727
1125,-0.00991821,0.000305176,0.0210571,-0.0274658,0.00610352,0.0282288,-0.0167847,0.00976562,0.00244141
1125,0.0209045,-0.00305176,-0.0050354,-0.0187683,0.00198364,-0.0236511,0.0062561,0.0227356,0.0338745
1125,0.0279236,-0.00137329,0.00167847,0.00915527,0.0466919,-0.0141907,-0.00778198,0.0346375,0.0375366
1125,0.00656128,0.0131226,0.0172424,-0.0195312,0.0552368,0.018158,0.0360107,0.0178528,0.0193787
1125,0.015564,-0.0106812,0.0193787,-0.00701904,-0.0532532,0.00366211,0.0465393,0.0325012,0.0178528
1125,0.00808716,-0.0167847,0.04776,-0.0183105,-0.0390625,0.0149536,0.00930786,0.0126648,-0.012207
1125,0.00869751,-0.0125122,0.0332642,-0.0157166,0.0117493,0.000152588,0.0773621,0.0112915,0.0146484
1126,0.00427246,-0.0276184,0.0312805,-0.014801,0.0286865,0.0100708,0.0544739,0.0222778,0.00610352
1126,0.00793457,-0.0157166,0.0462341,-0.00579834,-0.00396729,0.00823975,0.0137329,0.0131226,-0.00686646
1126,0.0332642,-0.0398254,0.0259399,0.00305176,0.00350952,-0.00137329,0.0332642,0.0204468,0.0367737
1126,0.00549316,-0.0445557,0.0390625,0.01297,-0.0131226,0.0138855,0.00717163,0.00305176,0.0379944
1126,0.0248718,-0.0587463,0.0334167,-0.00473022,-0.0144958,0.0125122,-0.0418091,-0.00152588,0.0241089
1126,0.0253296,-0.0932312,0.0291443,0.00961304,-0.00244141,-0.00442505,0.00457764,0.00823975,0.050354
1126,0.0161743,-0.0968933,-0.0132751,0.0491333,0.0126648,-0.0088501,-0.00564575,0.00686646,-0.0128174
1126,0.0196838,-0.062561,0.00595093,0.0701904,0.00457764,0.00869751,0.00411987,0.0141907,0.0202942
1126,0.0308228,-0.0267029,0.00656128,0.0309753,0.010376,-0.0115967,0.0537109,0.0289917,0.019989
1126,0.0463867,0.0154114,0.0163269,-0.00946045,0.000762939,0.0250244,0.00549316,0.0151062,0.00427246
1127,0.00762939,-0.0305176,-0.00213623,-0.0579834,0.0177002,0.0192261,0.0518799,0.00976562,0.0242615
1127,0.0254822,-0.100861,-0.0102234,-0.0671387,0.0158691,0.00930786,0.0289917,0.0265503,0.00396729
1127,-0.00198364,-0.114441,0.0105286,-0.0532532,-0.0216675,0.0151062,-0.0201416,0.0151062,-0.00854492
1127,0.0050354,-0.0541687,-0.017395,0.0512695,-0.000762939,0.00671387,0.00442505,0.00167847,0.0161743
1127,-0.0169373,0.0149536,-0.0222778,0.137024,0.0250244,0.00167847,0.0144958,0,-0.00900269
1127,-0.0128174,0.116425,0.00198364,0.0820923,0.0192261,0.0126648,-0.0166321,0.0166321,-0.0161743
1127,-0.0244141,0.159302,-0.0262451,0.0132751,0.0161743,0.00991821,0.020752,-0.00823975,0.0184631
1127,0.00366211,0.165253,-0.0143433,-0.0537109,0.0100708,0.00228882,0.017395,-0.0134277,-0.00518799
