,,FP2 - Force,,,FP2 - Moment,,,FP2 - CoP,,,FP1 - Force,,,FP1 - Moment,,,FP1 - CoP,,,FP1 - Raw,,,,,,FP4 - Force,,,FP4 - Moment,,,FP4 - CoP,,,A-Myon EMG - Voltage,,,,,,,,,,,,,,,,,,B-Myon EMG - Voltage,,,,,,,,,,,,FP3 - Force,,,FP3 - Moment,,,FP3 - CoP,,,EMG_A_Acc - Voltage,,,,,,,,,,,,,,,,EMG_B_Acc - Voltage,,,,,,,,,,,,,,,,Trigger - Electric Potential,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 9,Pin 10,Pin 11,Pin 12,Pin 13,Pin 14,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,EMG_A01,EMG_A02,EMG_A03,EMG_A04,EMG_A05,EMG_A06,EMG_A07,EMG_A08,EMG_A01_Accz,EMG_A02_Accz,EMG_A03_Accz,EMG_A04_Accz,EMG_A05_Accz,EMG_A06_Accz,EMG_A07_Accz,EMG_A08_Accz,FswA,FswB,EMG_B01,EMG_B02,EMG_B03,EMG_B04,EMG_B05,EMG_B06,EMG_B07,EMG_B08,EMG_B09,EMG_B10,EMG_B11,EMG_B12,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
336,9,0,0,0,0,0,0,202.9,-304.365,-0.0795827,0,0,0,0,0,0,198.84,300.407,0.0558755,-0.00640869,-0.00396729,0.000610352,-0.00457764,-0.0128174,-0.0088501,3.06186,-2.43307,7.88159,858.309,-1568.28,360.848,-199.669,-305.422,-0.130892,0.0152588,-0.0300598,0.106964,-0.0427246,0.0149536,0.000610352,0.00747681,0.00442505,0.0354004,0.194244,0.50293,-0.262451,-0.0915527,0.105743,-0.0787354,-0.0265503,2.64999,2.65747,0.00991821,0.00152588,-0.0163269,0.0106812,0.105591,0.0239563,-0.0592041,0.0424194,-0.0630188,-0.0120544,-0.0267029,0.00473022,0,0,0,0,0,0,207.643,-1058.39,0.0770316,-0.0471497,0.0723648,-0.411835,0.295563,0.0594711,0.462914,-0.0479889,0.0577545,-0.257416,-0.538254,-0.377388,-0.0353241,-0.110703,0.267906,0.0462341,0.314064,0.0450516,0.0671387,0.153847,-0.000305176,0.129814,0.271835,-0.146904,-0.220642,0.0270462,-0.190315,-0.160713,0.175819,0.0473785,0.0867462,-0.0249863,-0.0308609,0
337,0,0,0,0,0,0,0,202.9,-304.365,-0.0795827,0,0,0,0,0,0,198.84,300.407,0.0558755,-0.00610352,-0.00396729,-0.000305176,-0.00335693,-0.012207,-0.0088501,3.1493,-1.9906,7.8815,680.977,-1568.71,416.499,-199.669,-305.422,-0.130892,-0.000305176,-0.0360107,0.131226,-0.0157166,0.0813293,0.00244141,0.00396729,0.00854492,0.0151062,0.161743,0.518188,-0.229187,-0.0848389,0.103149,-0.0619507,-0.0138855,2.65366,2.65442,0.00518799,0.00228882,-0.0100708,-0.000457764,0.131531,0.0135803,-0.00183105,-0.0523376,-0.00946045,-0.0115967,0.0141907,-0.00244141,3.8585,-1.67998,4.28912,452.479,-1067.73,321.871,207.643,-1058.39,0.0770316,0.00747681,0.0488663,-0.4599,0.27401,0.0468826,0.458908,-0.00812531,0.0503922,-0.240898,-0.49057,-0.391541,-0.0923538,-0.0907135,0.297737,0.00556946,0.309029,0.00892639,0.0922775,0.162392,0.0360107,0.118256,0.200081,-0.109024,-0.150871,0.0217438,-0.173912,-0.159111,0.207024,0.0226593,0.0442123,-0.0786591,-0.0201797,-0.00854492
337,1,0,0,0,0,0,0,202.9,-304.365,-0.0795827,0,0,0,0,0,0,198.84,300.407,0.0558755,-0.00701904,-0.00488281,-0.000305176,-0.00366211,-0.0119019,-0.00732422,2.97377,-2.61019,7.8816,902.32,-1428.18,305.071,-199.669,-305.422,-0.130892,0.0213623,-0.0343323,0.121307,0.0260925,0.0537109,-0.0050354,0.0170898,-0.00488281,0.0189209,0.177307,0.518036,-0.265961,-0.0897217,0.119476,-0.0561523,-0.0257874,2.65411,2.66418,0.040741,0.00640869,-0.0184631,0.019989,0.180054,-0.00808716,-0.0320435,-0.148926,0.0543213,0.00762939,-0.0427246,-0.0263977,0,0,0,0,0,0,207.643,-1058.39,0.0770316,0.0163269,0.0914764,-0.402412,0.272636,0.018959,0.427094,-0.0495148,0.0344849,-0.242119,-0.482521,-0.382996,-0.0484085,-0.101318,0.23632,-0.00305176,0.307999,0.0625229,0.138588,0.169029,-0.0050354,0.173798,0.219879,-0.0898361,-0.22953,0.0496674,-0.132751,-0.193138,0.181541,0.0208664,0.0363922,-0.0827789,-0.0134277,-0.00946045
337,2,0,0,0,0,0,0,202.9,-304.365,-0.0795827,0,0,0,0,0,0,198.84,300.407,0.0558755,-0.00518799,-0.00366211,-0.000915527,-0.00427246,-0.0137329,-0.0088501,2.70859,-2.52275,6.81721,681.185,-1638.73,360.765,-199.669,-305.422,-0.130892,0.0160217,-0.0196838,0.0881958,-0.0123596,0.0332642,-0.00259399,0.0224304,0.0062561,0.0193787,0.175629,0.524902,-0.250244,-0.0820923,0.0904846,-0.0717163,-0.00656128,2.66083,2.66144,-0.00366211,0.0160217,0.0253296,0.00106812,0.136566,0.0228882,0.0474548,-0.123596,-0.0418091,-0.0178528,0.000762939,-0.0186157,3.49884,-1.77079,3.21704,904.541,-1209.9,434.72,207.643,-1058.39,0.0770316,0.0354004,0.0860977,-0.411835,0.271912,0.0523376,0.39814,-0.0502777,0.0442886,-0.240707,-0.486832,-0.390892,-0.0382614,-0.0937653,0.273666,0.00377655,0.275612,-0.00480652,0.165672,0.188332,-0.00553131,0.111961,0.207672,-0.111275,-0.188675,0.0745392,-0.202484,-0.151367,0.205002,0.0302505,0.0546646,-0.0751877,-0.0178909,-0.010376
337,3,2.93635,-1.35308,4.24032,1044.69,-323.046,434.549,202.9,-304.365,-0.0795827,0,0,0,0,0,0,198.84,300.407,0.0558755,-0.00671387,-0.00488281,-0.000915527,-0.00396729,-0.0137329,-0.00915527,3.23805,-2.07883,7.88158,947.382,-1743.06,379.544,-199.669,-305.422,-0.130892,0.00518799,-0.0379944,0.0564575,-0.0512695,0.0340271,-0.0274658,-0.00289917,0.0230408,0.0419617,0.194702,0.518036,-0.224915,-0.0759888,0.112,-0.0502014,-0.0242615,2.65564,2.65457,0.00900269,0.0135803,-0.0384521,-0.00213623,0.163727,0.0169373,0.0434875,-0.0863647,-0.0570679,0.0205994,-0.0170898,-0.0335693,0,0,0,0,0,0,207.643,-1058.39,0.0770316,-0.0151443,0.0527191,-0.386276,0.286026,0.0416946,0.410538,-0.0390625,0.0207901,-0.278778,-0.491257,-0.37529,-0.017395,-0.0750351,0.273323,0.0186539,0.301399,0.0476456,0.202789,0.158005,-0.0043869,0.171547,0.188103,-0.0916672,-0.216255,0.0259781,-0.159073,-0.118675,0.186501,0.0439072,0.0642776,-0.0998306,-0.029068,-0.00457764
337,4,2.58241,-1.61967,4.94817,867.511,-182.702,508.621,202.9,-304.365,-0.0795827,0,0,0,0,0,0,198.84,300.407,0.0558755,-0.00579834,-0.00396729,0.000610352,-0.00396729,-0.0131226,-0.00823975,3.32684,-2.60873,9.65547,858.254,-1568.25,453.776,-199.669,-305.422,-0.130892,0.0187683,-0.0123596,0.0482178,-0.045929,-0.0706482,0.01297,0.012207,0.0128174,0.00991821,0.181274,0.519409,-0.225677,-0.0758362,0.112762,-0.0540161,-0.0108337,2.68219,2.66037,-0.0108337,0.0154114,0.0349426,0.0146484,0.0843811,-0.00396729,0.0823975,-0.0593567,-0.0816345,-0.0299072,0.00564575,0.0260925,3.67771,-2.1268,2.8599,949.611,-925.087,377.604,207.643,-1058.39,0.0770316,-0.00595093,0.077858,-0.42057,0.274734,0.0776672,0.431023,-0.0296783,0.0259018,-0.249557,-0.516357,-0.385704,-0.0648499,-0.103302,0.306511,0.0177383,0.313263,0.00263214,0.145035,0.190353,0.018158,0.159721,0.218811,-0.133095,-0.200462,0.0644302,-0.208855,-0.164108,0.189743,0.0746536,0.0495529,-0.0745773,0.0122833,-0.00946045
337,5,0,0,0,0,0,0,202.9,-304.365,-0.0795827,0,0,0,0,0,0,198.84,300.407,0.0558755,-0.00518799,-0.00427246,-0.000305176,-0.00244141,-0.0119019,-0.0088501,3.23979,-2.52143,6.81753,1079.68,-1462.73,342.36,-199.669,-305.422,-0.130892,0.0268555,-0.018158,0.00427246,-0.0119019,-0.0909424,0.0128174,0.0221252,0.00305176,0.0343323,0.185852,0.510712,-0.251007,-0.0740051,0.109863,-0.0520325,-0.00350952,2.66739,2.66724,0.00259399,0.0216675,0.00228882,-0.00717163,0.0813293,0.0297546,0.0151062,-0.0453186,-0.0448608,-0.0163269,-0.01297,-0.00762939,3.41003,-1.59184,3.93194,949.696,-1138.7,415.688,207.643,-1058.39,0.0770316,-0.0157166,0.0703812,-0.442429,0.302048,0.0455856,0.415344,-0.00873566,0.0377655,-0.249519,-0.510483,-0.385513,-0.0534821,-0.0927734,0.264626,0.00705719,0.34893,0.0139999,0.163383,0.177269,-0.000801086,0.133743,0.248795,-0.0935364,-0.209732,0.0510025,-0.20401,-0.134659,0.190659,0.0244522,0.0840378,-0.0393677,-0.0215912,0.00488281
337,6,3.0262,-1.70596,4.59475,1088.54,-287.5,471.799,202.9,-304.365,-0.0795827,0,0,0,0,0,0,198.84,300.407,0.0558755,-0.00732422,-0.00427246,0.000610352,-0.00366211,-0.0128174,-0.00823975,2.88632,-2.87599,7.17217,724.444,-1218.58,397.824,-199.669,-305.422,-0.130892,0.00274658,-0.00793457,0.00732422,0.012207,-0.0964355,0.00335693,0.0196838,0.015564,0.00473022,0.261993,0.377502,-0.266266,-0.100555,0.0866699,-0.0424194,0.0292969,2.68311,2.68066,0.00274658,0.00213623,0.0050354,0.0254822,0.0239563,0.0263977,0.0282288,0.0111389,0.0282288,-0.0340271,0.0132751,0.0120544,3.67842,-1.50356,3.57391,994.798,-1138.82,340.22,207.643,-1058.39,0.0770316,0.0172806,-0.0643158,-0.322151,0.233994,0.0476074,0.401382,-0.0501633,0.0662994,-0.213699,-1.01814,-0.33947,-0.0249481,-0.0662994,0.249557,0.0145721,0.298157,0.0415039,0.123253,0.171089,0.0285339,0.143471,0.231781,-0.118484,-0.196457,0.0845337,-0.181465,-0.188484,0.174751,0.0429153,0.0238419,-0.0548172,-0.00774384,0.0115967
337,7,0,0,0,0,0,0,202.9,-304.365,-0.0795827,0,0,0,0,0,0,198.84,300.407,0.0558755,-0.00671387,-0.00518799,0.000610352,-0.00427246,-0.0131226,-0.0109863,2.7084,-2.78763,8.23623,857.961,-1428.28,360.802,-199.669,-305.422,-0.130892,0.0100708,-0.0239563,-0.0524902,0.0216675,-0.0814819,0.0143433,-0.00686646,-0.0109863,0.0205994,0.261688,0.374146,-0.27771,-0.0805664,0.101929,-0.0479126,0.0265503,2.66769,2.677,0.0205994,-0.0131226,0.000305176,0.00793457,0.00946045,0.0157166,-0.0119019,0.0799561,0.0753784,-0.0166321,-0.0120544,-0.0160217,3.67934,-1.94658,4.2898,723.774,-1067.45,453.534,207.643,-1058.39,0.0770316,-0.0290298,-0.0517273,-0.303535,0.246582,0.0614929,0.383034,-0.0459671,0.0840759,-0.294151,-1.0178,-0.284996,-0.00328064,-0.0463104,0.256691,-0.00617981,0.310287,0.0142288,0.178146,0.17067,-0.0352097,0.119514,0.201912,-0.0971603,-0.160866,0.0380707,-0.205116,-0.103378,0.223236,-0.0159073,0.0522232,-0.0457382,-0.00648499,0.0119019
337,8,3.02958,-2.05998,3.53257,1088.65,-287.537,397.396,202.9,-304.365,-0.0795827,0,0,0,0,0,0,198.84,300.407,0.0558755,-0.00518799,-0.00427246,-0.0012207,-0.00396729,-0.0140381,-0.00823975,3.32811,-2.52109,7.17232,946.925,-1568.04,416.658,-199.669,-305.422,-0.130892,-0.000762939,0.0166321,-0.0410461,0.00671387,-0.0230408,0.00823975,0.0212097,0.0186157,-0.00183105,0.231323,0.373383,-0.265808,-0.0776672,0.0953674,-0.0605774,0.0512695,2.68097,2.67563,-0.0209045,0.0138855,-0.00411987,0,-0.00732422,0.0210571,0.0234985,0.0881958,0.0250244,-0.0509644,0.0132751,0.0177002,3.58853,-2.21505,3.21772,859.119,-1032.14,264.774,207.643,-1058.39,0.0770316,0.0191116,-0.073967,-0.32402,0.26062,0.0709915,0.409737,-0.0341415,0.0608444,-0.291405,-1.00349,-0.360298,-0.0110626,-0.0296783,0.271759,0.0239944,0.304108,0.0761032,0.240211,0.163612,-0.0255203,0.152855,0.175858,-0.133858,-0.222168,0.058136,-0.180435,-0.1297,0.180817,0.018425,0.0923538,-0.129395,-0.0421906,0.0143433
