Frame,RF,VL,BF,TA,SOL,GAS_MED,GAS_LAT,GLUT_MED,GLUT_MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-0.0112915,-0.429535,0.000305176,-0.0326538,0.0170898,0.00808716,0.0318909,-0.00854492,0.0660706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-0.0338745,-0.452881,0.062561,-0.0317383,0.00289917,-0.00457764,0.0161743,0.0326538,0.0830078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-0.00930786,-0.36499,0.108185,0.00167847,0.018158,0.0271606,-0.0158691,0.0138855,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,0.0364685,-0.353699,0.155182,0.0610352,0.0379944,0.00869751,-0.0619507,0.0202942,0.102234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,0.00213623,-0.292053,0.212097,0.0309753,0.0369263,0.0296021,-0.0253296,-0.0296021,0.0608826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,0.0437927,-0.258331,0.235138,0.0550842,0.0421143,0.0172424,-0.0209045,-0.0178528,0.110931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,0.00427246,-0.196533,0.292969,0.0445557,0.00167847,0.0161743,0.0038147,-0.0195312,0.0640869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,0.0572205,-0.0733948,0.285492,0.0663757,0.017395,0.0146484,-0.0289917,-0.0524902,0.0805664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,0.0361633,0.0794983,0.335388,-0.0244141,-0.00762939,-0.0299072,0.0131226,0.00549316,0.0466919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,0.0518799,0.321198,0.336151,-0.0880432,0.04776,-0.0038147,-0.0175476,0.12085,0.0198364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
